Cohort ID	Likelihood Weights	Mortality Prob
49	2.3903968771940227e-07	0.13002857211827767
50	0.0002891245521333807	0.019366957870297075
51	4.029543905591518e-15	0.678835532939891
52	4.170445137723012e-05	0.21162811600005904
53	7.972457643272832e-06	0.2655466593722262
54	9.279020904987307e-12	0.4915731592803383
55	0.00019401506678425637	0.053362545117080384
56	1.310388031519907e-13	0.5741176054920131
57	0.0005033972162669749	0.14672857490581015
58	1.3928391384562942e-14	0.5893055369032842
59	1.5766640003938068e-15	0.6997583600209312
60	3.0043852065596933e-05	0.10233442882782584
61	2.9603518140834545e-09	0.4140559878195683
62	1.8224994224854932e-18	0.6944001577277451
63	5.898157742593825e-13	0.41417926952690265
64	0.0023924322986027748	0.04995345894608716
65	5.261992812133684e-11	0.5358964059155116
66	9.058656183971098e-17	0.6637946452197888
67	3.8438797486655093e-10	0.5148891120583086
68	2.3431800300880236e-22	0.9445947559908133
69	3.878396617103576e-14	0.5865550405019929
70	3.3248656904112047e-22	0.9034019152878835
71	3.3884546832364395e-07	0.13747470414623753
72	1.3148048046297286e-05	0.13927634725075855
73	1.0547923124868543e-20	0.8073912887095238
74	4.345314399358819e-11	0.3976768369855336
75	4.8841682655663276e-08	0.16535419711693278
76	4.209694779148158e-24	0.9275085803960339
77	8.779192559529777e-07	0.34776585974550656
78	2.778595629203378e-17	0.7508121031361555
79	6.783858551012968e-18	0.7259979853504515
80	4.227149947344273e-21	0.8833060912058098
81	2.5343711967485913e-18	0.6236722070556089
82	1.1687935314866945e-17	0.7509424340273372
83	2.2467069023494922e-09	0.34889834197784253
84	3.1587655422273655e-06	0.2699278917650261
85	5.73596030333631e-23	0.8958862181960668
86	2.960093230563958e-11	0.4280911898712949
87	1.565138291546187e-26	0.9648400471483856
88	9.333279418643894e-16	0.6634414978184481
89	4.463556465757907e-16	0.6216957202091218
90	3.1058317386559095e-07	0.11474597295337519
91	2.2180649693392377e-19	0.9494892587070712
92	4.2215591229603143e-10	0.4499121334799405
93	3.2495839355603893e-16	0.5783896143871318
94	1.0225744152765218e-11	0.40813680276128117
95	1.2909502556629098e-09	0.2370269802430277
96	6.452717904918518e-23	0.9033795205622538
97	3.5022394449350365e-14	0.5736794866722859
98	0.00010197882349356134	0.00287032703115897
99	1.8954831360154404e-14	0.6171449136207239
100	3.418251770274409e-08	0.32664490177209615
101	2.2175241190176287e-11	0.5270581022576093
102	2.0866706191006884e-20	0.8859420993107745
103	3.1686675045353508e-12	0.35726976000249977
104	1.8548491731815427e-22	0.9085351509197992
105	5.2643675287486944e-14	0.6233601157918027
106	0.0599183176329594	0.015821242846556283
107	2.3431800300880236e-22	0.9294372337437613
108	2.6505480984503616e-13	0.690896917516924
109	2.5096635978856558e-23	0.9973228504514805
110	1.5997950785247816e-06	0.17234050834532855
111	1.8319048367702034e-05	0.13713574962887776
112	7.649443906607136e-24	0.9325954630371636
113	5.4539692606984126e-18	0.6968181614899002
114	3.5403806174345426e-05	0.06600017272206249
115	1.9836374026739254e-19	0.7554630526024664
116	2.628689770080351e-16	0.7538761884612464
117	1.0547923124868543e-20	0.9230245355464833
118	4.470423980003878e-15	0.7115247586284718
119	0.00011983570146308599	0.1242709619721647
120	0.0007459236764378787	0.01988013383979559
121	0.018459919163021796	0.026210986877719278
122	0.00026700354188672194	0.028306488020794607
123	9.088879750491465e-08	0.2462110676030459
124	5.959977253089391e-21	0.860027948682888
125	4.29458378432073e-14	0.5388310643416528
126	8.419211056383573e-12	0.5528219786857659
127	9.455491250210973e-22	0.8420308923596057
128	9.9285301724597e-08	0.12417331511991114
129	2.1611351806873896e-05	0.2791836790111395
130	1.1514051185349676e-15	0.5857592714582879
131	2.3803834156568545e-21	0.9695957483196745
132	3.1622917441118144e-14	0.56103021925571
133	0.005547045773297489	0.01864728937294302
134	8.418420315505805e-19	0.8006326726806163
135	2.2496223655134982e-06	0.23297427384102043
136	1.5860881537530098e-19	0.8071051956187791
137	8.478219656412088e-11	0.38786064406417176
138	1.2315944908054046e-23	0.8635418545594287
139	3.099474897562814e-19	0.7471216427371846
140	2.960093230563958e-11	0.5562402339904189
141	7.332299287762297e-06	0.13645522566068502
142	0.0005446907146271785	0.05991768951221166
143	1.3148048046297286e-05	0.12134345574073735
144	8.66770533510001e-06	0.044551878544761725
145	0.00012988624854041702	0.1074941291060929
146	3.1587655422273655e-06	0.2257093386078547
147	1.0080887370255745e-16	0.7129889803826767
148	5.7897194613690864e-11	0.5597169820541424
149	0.0020506581471840934	0.012555980159115854
150	0.018459919163021796	0.07197427968948678
151	8.421655237261227e-22	0.967276330000272
152	6.285666033684283e-12	0.5681004619199421
153	2.1611351806873896e-05	0.20329323466099047
154	3.3884546832364395e-07	0.2523257445703234
155	3.675724460757024e-20	0.7438258540750929
156	2.066131815953628e-06	0.1954294811093188
157	2.9495324336205083e-15	0.5813589272732578
158	1.0934872537169307e-23	0.9700199890883123
159	5.315562704204138e-21	0.8468288014900353
